objectid,filename,title,creator,date,date is approx?,description,series number,box number ,folder number,subject,location,latitude,longitude,type,format,language,rights,rightsstatement,identifier,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
dubois002,paulweisscoverletter.pdf,Letter: 'Telfina' to Josiah E. Dubois,Holocaust Resource Center,1950-01-25,No,Letter to Josiah E. Dubois from Telfina about the current state of affairs on the Ohlendorf and Pohl executions. ,S2_SS4,2-22,386,execution; Ohlendorf; Pohl; Telefina,,,,,application/pdf,,,,paulweisscoverletter,image,/objects/paulweisscoverletter.pdf,/objects/small/paulweisscoverletter_sm.jpg,/objects/thumbs/paulweisscoverletter_th.jpg,,
dubois003,treasurydepartmentthankyou.pdf,"Treasury of Department Response to Josiah ""Joe"" E. Dubois, Jr. Resignation ",Holocaust Resource Center,1946-04-29,No,Letter to Josiah E. Dubois from the Treasury of Department that appreciates his time worked at their department. ,S2_SS4,2-22,386,resignation; letter; communication; Treasury; Department;,,,,,application/pdf,,,,treasurydepartmentthankyou,image,/objects/treasurydepartmentthankyou.pdf,/objects/small/treasurydepartmentthankyou_sm.jpg,/objects/thumbs/treasurydepartmentthankyou_th.jpg,,
dubois004,treasurydepartmentone.pdf,"Josiah E. Dubois, Jr. Resignation Letter Acknowledgment ",Holocaust Resource Center,1944,Yes,"The Treasury Departments written statement of the official resignation of Josiah E. Dubois, Jr.",S2_SS4,2-22,386,Statement; Resignation;,,,,,application/pdf,,,,treasurydepartmentone,image,/objects/treasurydepartmentone.pdf,/objects/small/treasurydepartmentone_sm.jpg,/objects/thumbs/treasurydepartmentone_th.jpg,,
dubois005,thankyoutwo.pdf,Response from the Society for the Prevention of World War III ,Holocaust Resource Center,1949-10-18,No,"The Society for the Prevention of World War III found the report titled ""List of Americans who were instrumental in Scuttling the Allied Policy towards Germany"" was inadequate. ",S2_SS4,2-22,386,Preservation; Scuttling; Page; Society; Allied; Policy; Germany,,,,,application/pdf,,,,thankyoutwo,image,/objects/thankyoutwo.pdf,/objects/small/thankyoutwo_sm.jpg,/objects/thumbs/thankyoutwo_th.jpg,,
dubois006,thankyouone.pdf,Response from the Society for the Prevention of World War III Page Two ,Holocaust Resource Center,1949-10-18,No,Second page to the Response from the Society for the Prevention of World War III ,S2_SS4,2-22,386,World War II; Prevention; Society; Response; ,,,,,application/pdf,,,,thankyouone,image,/objects/thankyouone.pdf,/objects/small/thankyouone_sm.jpg,/objects/thumbs/thankyouone_th.jpg,,
dubois007,shipment.pdf,Invitation to Travel Page Two ,Holocaust Resource Center,1945-10-27,No,Invitational orders five through eight ,S2_SS4,2-22,386,five; eight; Invitational; travel,,,,,application/pdf,,,,shipment,image,/objects/shipment.pdf,/objects/small/shipment_sm.jpg,/objects/thumbs/shipment_th.jpg,,
dubois008,resignationletter.pdf,"Josiah E. Dubois, Jr. Resignation Letter  ",Holocaust Resource Center,1946-04-23,No,"Josiah E. Dubois, Jr. official resignation letter to Fred M. Vinson, Secretary of Treasury ",S2_SS4,2-22,386,resignation; letter; communication; Fred; Vinson; Secretary; of; the; Treasury; Department,,,,,application/pdf,,,,resignationletter,image,/objects/resignationletter.pdf,/objects/small/resignationletter_sm.jpg,/objects/thumbs/resignationletter_th.jpg,,
dubois009,prioritiesofficer_to_edwinpauley.pdf,"Edwin W. Pauley letter to the Priorities Officer Air Transport Command, U.S. Army Air Forces, Paris, France ",Holocaust Resource Center,1945-08-03,No,"Josiah E. Dubois, Jr. has been instructed to come from Berlin to Washington for a special assignment. ",S2_SS4,2-22,386,Air; Transport; Command; Edwin; Pauley; assignment; Washington; Berlin,,,,,application/pdf,,,,prioritiesofficer_to_edwinpauley,image,/objects/prioritiesofficer_to_edwinpauley.pdf,/objects/small/prioritiesofficer_to_edwinpauley_sm.jpg,/objects/thumbs/prioritiesofficer_to_edwinpauley_th.jpg,,
dubois010,patediemconferencetwo.pdf,Second Page of Notes for 'Patediem Conference',Holocaust  Resource Center,1945,Yes,This is the second page of the notes from the 'Patediem Conference',S2_SS4,2-22,386,Patediem; Conference; Second,,,,,application/pdf,,,,patediemconferencetwo,image,/objects/patediemconferencetwo.pdf,/objects/small/patediemconferencetwo_sm.jpg,/objects/thumbs/patediemconferencetwo_th.jpg,,
dubois011,patediemconferenceone.pdf,Notes for 'Patediem Conference',Holocaust Resource Center,1945,Yes,This is the first page of the notes for'Patediem Conference',S2_SS4,2-22,386,Patediem; Confrence; First;,,,,,application/pdf,,,,patediemconferenceone,image,/objects/patediemconferenceone.pdf,/objects/small/patediemconferenceone_sm.jpg,/objects/thumbs/patediemconferenceone_th.jpg,,
